question_id,metric,rank,model,score
q01,distinct_2,1,deepseek_8b_ol_q4km,1.0
q01,distinct_2,2,gemma_4b_ol_q4km,1.0
q01,distinct_2,3,qwen_8b_ol_q4km,1.0
q01,unique_token_ratio,1,qwen_8b_ol_q4km,0.8736
q01,unique_token_ratio,2,gemma_4b_ol_q4km,0.8472
q01,unique_token_ratio,3,deepseek_8b_ol_q4km,0.8125
q01,total_rhetorical_devices,1,qwen25_7b_hf_8bit,15.0
q01,total_rhetorical_devices,2,qwen25_7b_hf_4bit,12.0
q01,total_rhetorical_devices,3,qwen25_3b_hf_4bit,10.0
q02,distinct_2,1,qwen_8b_ol_q4km,0.9412
q02,distinct_2,2,deepseek_8b_ol_q4km,0.9161
q02,distinct_2,3,phi3_4b_hf_8bit,0.9062
q02,unique_token_ratio,1,phi3_4b_hf_8bit,0.7273
q02,unique_token_ratio,2,qwen_8b_ol_q4km,0.6893
q02,unique_token_ratio,3,deepseek_8b_ol_q4km,0.6731
q02,total_rhetorical_devices,1,qwen25_7b_hf_4bit,22.0
q02,total_rhetorical_devices,2,qwen25_3b_hf_4bit,19.0
q02,total_rhetorical_devices,3,qwen25_3b_hf_8bit,11.0
q03,distinct_2,1,gemma_4b_ol_q4km,0.9451
q03,distinct_2,2,qwen_8b_ol_q4km,0.9421
q03,distinct_2,3,phi3_4b_hf_8bit,0.8833
q03,unique_token_ratio,1,qwen_8b_ol_q4km,0.6702
q03,unique_token_ratio,2,gemma_4b_ol_q4km,0.6241
q03,unique_token_ratio,3,phi3_4b_hf_8bit,0.5943
q03,total_rhetorical_devices,1,qwen25_7b_hf_4bit,11.0
q03,total_rhetorical_devices,2,qwen25_3b_hf_4bit,10.0
q03,total_rhetorical_devices,3,qwen_4b_ol_q4km,9.0
q04,distinct_2,1,gemma_4b_ol_q4km,0.9249
q04,distinct_2,2,qwen_8b_ol_q4km,0.9192
q04,distinct_2,3,deepseek_8b_ol_q4km,0.9184
q04,unique_token_ratio,1,qwen_8b_ol_q4km,0.73
q04,unique_token_ratio,2,deepseek_8b_ol_q4km,0.697
q04,unique_token_ratio,3,gemma_4b_ol_q4km,0.6667
q04,total_rhetorical_devices,1,qwen25_3b_hf_4bit,10.0
q04,total_rhetorical_devices,2,qwen_4b_ol_q4km,8.0
q04,total_rhetorical_devices,3,qwen25_3b_hf_8bit,4.0
q05,distinct_2,1,qwen_8b_ol_q4km,1.0
q05,distinct_2,2,phi3_4b_hf_4bit,0.9545
q05,distinct_2,3,gemma_4b_ol_q4km,0.9543
q05,unique_token_ratio,1,qwen_8b_ol_q4km,0.8627
q05,unique_token_ratio,2,gemma_4b_ol_q4km,0.6591
q05,unique_token_ratio,3,phi3_4b_hf_4bit,0.6482
q05,total_rhetorical_devices,1,gemma_2b_hf_8bit,9.0
q05,total_rhetorical_devices,2,deepseek_8b_ol_q4km,5.0
q05,total_rhetorical_devices,3,qwen25_3b_hf_4bit,5.0
