model,question,correctness,completeness,rigor,clarity,efficiency,total_raw,notes,weighted_total,normalized_score
deepseek_8b_ol_q4km,q01,2.0,5.0,4.0,3.0,2.0,16.0,推理过程详细但未得出明确结论，逻辑分析较完整,3.2499999999999996,64.99999999999999
gemma_2b_hf_4bit,q01,1.0,1.0,1.0,2.0,5.0,10.0,仅提出问题，无推理过程,1.3,26.0
gemma_2b_hf_8bit,q01,1.0,1.0,1.0,2.0,5.0,10.0,仅提出问题，无推理过程,1.3,26.0
gemma_4b_ol_q4km,q01,3.0,4.0,3.0,4.0,3.0,17.0,方法正确但解释有冗余和逻辑混乱,3.35,67.0
phi3_4b_hf_4bit,q01,2.0,3.0,2.0,2.0,3.0,12.0,方法有误，理解不完整,2.3000000000000003,46.00000000000001
phi3_4b_hf_8bit,q01,2.0,3.0,2.0,2.0,3.0,12.0,方法有误，逻辑不完整,2.3000000000000003,46.00000000000001
qwen25_3b_hf_4bit,q01,3.0,5.0,4.0,4.0,3.0,19.0,方法正确但解释冗长，包含LaTeX代码,3.8,76.0
qwen25_3b_hf_8bit,q01,3.0,4.0,3.0,3.0,3.0,16.0,方法正确但解释冗长，有重复内容,3.2500000000000004,65.00000000000001
qwen25_7b_hf_4bit,q01,3.0,4.0,4.0,4.0,3.0,18.0,逻辑推理正确但解释冗长,3.55,71.0
qwen_4b_ol_q4km,q01,2.0,5.0,4.0,3.0,1.0,15.0,推理过程极其详细但冗长，未得出明确结论,3.1999999999999993,63.99999999999999
qwen_8b_ol_q4km,q01,2.0,5.0,4.0,3.0,1.0,15.0,推理过程极其详细但冗长，未得出明确结论,3.1999999999999993,63.99999999999999
deepseek_8b_ol_q4km,q02,5.0,5.0,5.0,5.0,4.0,24.0,完美的三段论推理，结构清晰，逻辑严密,4.95,99.0
gemma_2b_hf_4bit,q02,3.0,3.0,2.0,3.0,5.0,16.0,结论正确但推理过于简略，缺少详细步骤,2.9000000000000004,58.00000000000001
gemma_2b_hf_8bit,q02,3.0,2.0,2.0,3.0,5.0,15.0,结论正确但推理极简，缺少逻辑链,2.6500000000000004,53.0
gemma_4b_ol_q4km,q02,5.0,5.0,5.0,5.0,5.0,25.0,完美的三段论推理，结构清晰,5.0,100.0
phi3_4b_hf_4bit,q02,4.0,4.0,4.0,3.0,4.0,19.0,推理基本正确，但表达略显混乱,3.9000000000000004,78.0
phi3_4b_hf_8bit,q02,4.0,4.0,4.0,3.0,4.0,19.0,推理基本正确，结构尚可,3.9000000000000004,78.0
qwen25_3b_hf_4bit,q02,5.0,5.0,5.0,5.0,4.0,24.0,三段论推理完美，结构清晰,4.95,99.0
qwen25_3b_hf_8bit,q02,4.0,4.0,4.0,4.0,3.0,19.0,推理正确但包含无关内容,3.95,79.0
qwen25_7b_hf_4bit,q02,5.0,5.0,5.0,5.0,4.0,24.0,三段论推理完美，结构清晰,4.95,99.0
qwen_4b_ol_q4km,q02,4.0,5.0,5.0,4.0,3.0,21.0,三段论推理正确，过程详细但略显冗长,4.4,88.00000000000001
qwen_8b_ol_q4km,q02,4.0,5.0,5.0,4.0,3.0,21.0,推理正确，过程详细但略显冗长,4.4,88.00000000000001
deepseek_8b_ol_q4km,q03,5.0,5.0,5.0,5.0,4.0,24.0,正确使用温度判断法，推理完整严谨,4.95,99.0
gemma_2b_hf_4bit,q03,1.0,2.0,1.0,2.0,5.0,11.0,仅给出提示，无具体解决方案,1.55,31.0
gemma_2b_hf_8bit,q03,2.0,2.0,2.0,3.0,5.0,14.0,提示使用不同开关，但无具体方法,2.25,45.0
gemma_4b_ol_q4km,q03,5.0,5.0,5.0,5.0,5.0,25.0,温度判断法完美，解释清晰,5.0,100.0
phi3_4b_hf_4bit,q03,2.0,3.0,2.0,2.0,3.0,12.0,方法不完整，缺少关键步骤,2.3000000000000003,46.00000000000001
phi3_4b_hf_8bit,q03,2.0,3.0,2.0,2.0,3.0,12.0,方法不完整，步骤不清晰,2.3000000000000003,46.00000000000001
qwen25_3b_hf_4bit,q03,4.0,5.0,4.0,4.0,4.0,21.0,温度判断法正确，解释详细,4.250000000000001,85.00000000000001
qwen25_3b_hf_8bit,q03,4.0,5.0,4.0,4.0,4.0,21.0,温度判断法正确，解释详细,4.250000000000001,85.00000000000001
qwen25_7b_hf_4bit,q03,5.0,5.0,5.0,5.0,4.0,24.0,温度判断法完美，解释清晰,4.95,99.0
qwen_4b_ol_q4km,q03,4.0,5.0,4.0,3.0,2.0,18.0,温度判断法正确，但解释过于冗长,4.05,81.0
qwen_8b_ol_q4km,q03,4.0,5.0,4.0,3.0,2.0,18.0,温度判断法正确，解释详细但冗长,4.05,81.0
deepseek_8b_ol_q4km,q04,5.0,5.0,5.0,5.0,5.0,25.0,传递性推理完美，简洁明了,5.0,100.0
gemma_2b_hf_4bit,q04,5.0,3.0,3.0,4.0,5.0,20.0,结论正确，但推理过程简略,4.0,80.0
gemma_2b_hf_8bit,q04,5.0,3.0,3.0,4.0,5.0,20.0,结论正确，推理简洁但基本完整,4.0,80.0
gemma_4b_ol_q4km,q04,5.0,4.0,5.0,5.0,5.0,24.0,传递性推理正确，表达清晰,4.75,95.0
phi3_4b_hf_4bit,q04,4.0,4.0,4.0,3.0,4.0,19.0,推理正确但表达不够清晰,3.9000000000000004,78.0
phi3_4b_hf_8bit,q04,4.0,4.0,4.0,3.0,4.0,19.0,推理正确但表达一般,3.9000000000000004,78.0
qwen25_3b_hf_4bit,q04,5.0,5.0,5.0,5.0,5.0,25.0,传递性推理完美，简洁明了,5.0,100.0
qwen25_3b_hf_8bit,q04,5.0,4.0,5.0,4.0,4.0,22.0,传递性推理正确，表达清晰,4.6000000000000005,92.00000000000001
qwen25_7b_hf_4bit,q04,5.0,5.0,5.0,5.0,4.0,24.0,传递性推理完美，表达清晰,4.95,99.0
qwen_4b_ol_q4km,q04,5.0,5.0,5.0,4.0,3.0,22.0,传递性推理正确，过程详细,4.800000000000001,96.00000000000001
qwen_8b_ol_q4km,q04,5.0,5.0,5.0,4.0,3.0,22.0,传递性推理正确，过程详细,4.800000000000001,96.00000000000001
