model,question_id,has_answer,answer_length,has_conclusion,technical_term_density,technical_term_count,confidence_score,uncertainty_count,certainty_count,paragraph_count,avg_paragraph_length,has_enumeration,has_reasoning,reasoning_steps,has_examples
deepseek_8b_ol_q4km,q01,1.0,1201,0.0,0.3791469194312796,24,0.39999999999999997,0,1,9,131.66666666666666,1.0,1.0,16,0.0
deepseek_8b_ol_q4km,q02,1.0,986,0.0,0.25,12,0.19999999999999996,1,0,4,245.0,1.0,1.0,9,0.0
deepseek_8b_ol_q4km,q03,1.0,994,0.0,0.27253668763102723,13,0.19999999999999996,3,1,3,330.0,1.0,1.0,13,0.0
deepseek_8b_ol_q4km,q04,1.0,1229,0.0,0.5385735080058224,37,0.4,1,0,6,197.0,1.0,1.0,14,1.0
deepseek_8b_ol_q4km,q05,1.0,968,0.0,0.37735849056603776,18,0.39999999999999997,1,1,4,240.5,0.0,1.0,15,0.0
gemma_2b_hf_4bit,q01,1.0,371,1.0,0.7070707070707071,14,0.6,0,0,4,90.75,0.0,1.0,6,0.0
gemma_2b_hf_4bit,q02,1.0,314,1.0,0.6779661016949153,12,0.6,0,1,6,50.333333333333336,1.0,1.0,1,0.0
gemma_2b_hf_4bit,q03,1.0,880,0.0,0.41125541125541126,19,0.5,0,0,4,218.0,0.0,1.0,10,1.0
gemma_2b_hf_4bit,q04,1.0,284,1.0,0.2450980392156863,5,0.6,0,1,5,54.8,1.0,1.0,5,0.0
gemma_2b_hf_4bit,q05,1.0,236,0.0,0.3603603603603604,4,0.5,0,0,2,106.5,1.0,1.0,3,0.0
gemma_2b_hf_8bit,q01,1.0,351,1.0,0.625,12,0.6,0,0,4,85.75,0.0,1.0,6,0.0
gemma_2b_hf_8bit,q02,1.0,477,0.0,0.34090909090909094,9,0.5,0,0,7,66.14285714285714,1.0,1.0,1,0.0
gemma_2b_hf_8bit,q03,1.0,941,0.0,0.39473684210526316,18,0.4,1,0,5,186.2,0.0,1.0,7,0.0
gemma_2b_hf_8bit,q04,1.0,195,1.0,0.975609756097561,12,0.6,0,0,3,63.0,1.0,0.0,3,0.0
gemma_2b_hf_8bit,q05,1.0,416,0.0,0.3125,6,0.5,0,0,3,132.0,0.0,1.0,3,0.0
gemma_4b_ol_q4km,q01,1.0,1150,0.0,0.20512820512820515,12,0.6,0,0,5,225.8,0.0,1.0,10,0.0
gemma_4b_ol_q4km,q02,1.0,905,0.0,0.33573141486810554,14,0.5,0,0,5,179.4,0.0,1.0,8,0.0
gemma_4b_ol_q4km,q03,1.0,957,0.0,0.3378378378378379,15,0.5,0,0,5,189.8,1.0,1.0,10,0.0
gemma_4b_ol_q4km,q04,1.0,1375,1.0,0.3097345132743363,21,0.7,0,2,9,147.0,1.0,1.0,15,1.0
gemma_4b_ol_q4km,q05,1.0,945,0.0,0.37825059101654845,16,0.5,0,0,5,187.2,0.0,1.0,11,0.0
phi3_4b_hf_4bit,q01,1.0,529,0.0,0.6439393939393939,17,0.6,0,1,3,174.33333333333334,1.0,1.0,4,1.0
phi3_4b_hf_4bit,q02,1.0,680,0.0,0.39215686274509803,14,0.5,0,0,3,224.66666666666666,1.0,1.0,4,1.0
phi3_4b_hf_4bit,q03,1.0,849,0.0,0.46913580246913583,19,0.5,0,0,3,281.0,0.0,1.0,7,0.0
phi3_4b_hf_4bit,q04,1.0,1005,0.0,0.5649717514124294,30,0.5,0,0,6,162.0,1.0,1.0,7,1.0
phi3_4b_hf_4bit,q05,1.0,909,0.0,0.6133333333333334,23,0.5,0,0,3,295.6666666666667,0.0,1.0,6,0.0
phi3_4b_hf_8bit,q01,1.0,601,0.0,0.6270627062706271,19,0.6,0,1,3,198.33333333333334,1.0,1.0,5,1.0
phi3_4b_hf_8bit,q02,1.0,677,0.0,0.48433048433048437,17,0.5,0,0,3,223.66666666666666,1.0,1.0,3,1.0
phi3_4b_hf_8bit,q03,1.0,914,0.0,0.39906103286384975,17,0.5,0,0,3,302.6666666666667,0.0,1.0,6,0.0
phi3_4b_hf_8bit,q04,1.0,1253,0.0,0.6086956521739131,42,0.5,0,0,7,173.85714285714286,1.0,1.0,12,1.0
phi3_4b_hf_8bit,q05,1.0,869,1.0,0.5637254901960785,23,0.6,0,0,4,211.25,0.0,1.0,8,0.0
qwen25_3b_hf_4bit,q01,1.0,1175,0.0,0.29143897996357016,16,0.6,0,1,5,233.0,1.0,1.0,12,0.0
qwen25_3b_hf_4bit,q02,1.0,832,1.0,0.5921052631578948,27,0.6,0,0,4,201.75,1.0,1.0,10,0.0
qwen25_3b_hf_4bit,q03,1.0,925,0.0,0.4819277108433735,24,0.5,0,0,5,183.2,1.0,1.0,9,0.0
qwen25_3b_hf_4bit,q04,1.0,1387,0.0,0.1443001443001443,10,0.5,0,0,6,229.33333333333334,0.0,1.0,17,0.0
qwen25_3b_hf_4bit,q05,1.0,868,0.0,0.1728395061728395,7,0.5,0,0,4,214.75,0.0,0.0,9,0.0
qwen25_3b_hf_8bit,q01,1.0,1088,0.0,0.46816479400749067,25,0.6,0,1,7,153.42857142857142,0.0,1.0,12,0.0
qwen25_3b_hf_8bit,q02,1.0,893,0.0,0.3418803418803419,16,0.5,0,0,5,176.6,0.0,0.0,11,0.0
