question_id,distinct_1,distinct_2,text_length,sentence_count,avg_sentence_length,token_count,unique_token_ratio,metaphor_count,personification_count,repetition_count,parallelism_count,total_rhetorical_devices,model
q01,0.8125,1.0,62,1,62.0,48,0.8125,0,0,0,0,0,deepseek_8b_ol_q4km
q02,0.6731,0.9161,246,7,35.14,156,0.6731,1,0,0,1,2,deepseek_8b_ol_q4km
q03,0.4048,0.8136,780,25,31.2,709,0.4048,1,0,0,3,4,deepseek_8b_ol_q4km
q04,0.697,0.9184,99,5,19.8,99,0.697,0,0,0,0,0,deepseek_8b_ol_q4km
q05,0.4343,0.8449,618,31,19.94,594,0.4343,4,0,0,1,5,deepseek_8b_ol_q4km
q01,0.7344,0.9683,89,4,22.25,64,0.7344,1,0,0,0,1,gemma_2b_hf_4bit
q02,0.6538,0.8824,324,1,324.0,52,0.6538,0,0,0,0,0,gemma_2b_hf_4bit
q03,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,gemma_2b_hf_4bit
q04,0.6562,0.8095,106,5,21.2,64,0.6562,0,0,0,1,1,gemma_2b_hf_4bit
q05,0.557,0.8535,176,6,29.33,158,0.557,2,0,0,1,3,gemma_2b_hf_4bit
q01,0.5385,0.8,111,4,27.75,91,0.5385,1,0,0,1,2,gemma_2b_hf_8bit
q02,0.4762,0.6774,112,2,56.0,63,0.4762,2,0,0,1,3,gemma_2b_hf_8bit
q03,0.5891,0.8828,141,5,28.2,129,0.5891,3,0,0,0,3,gemma_2b_hf_8bit
q04,0.6489,0.8602,111,3,37.0,94,0.6489,0,0,0,0,0,gemma_2b_hf_8bit
q05,0.4756,0.8333,338,11,30.73,307,0.4756,9,0,0,0,9,gemma_2b_hf_8bit
q01,0.8472,1.0,94,3,31.33,72,0.8472,0,0,0,0,0,gemma_4b_ol_q4km
q02,0.4892,0.7609,344,12,28.67,231,0.4892,0,0,0,2,2,gemma_4b_ol_q4km
q03,0.6241,0.9451,278,8,34.75,274,0.6241,3,0,0,0,3,gemma_4b_ol_q4km
q04,0.6667,0.9249,206,8,25.75,174,0.6667,0,0,0,0,0,gemma_4b_ol_q4km
q05,0.6591,0.9543,180,5,36.0,176,0.6591,1,1,0,0,2,gemma_4b_ol_q4km
q01,0.4618,0.7552,391,9,43.44,340,0.4618,3,0,0,2,5,phi3_4b_hf_4bit
q02,0.4808,0.7799,381,5,76.2,260,0.4808,1,0,0,0,1,phi3_4b_hf_4bit
q03,0.5331,0.8196,365,10,36.5,317,0.5331,1,0,0,1,2,phi3_4b_hf_4bit
q04,0.589,0.8522,374,12,31.17,292,0.589,0,0,0,1,1,phi3_4b_hf_4bit
q05,0.6482,0.9545,253,5,50.6,199,0.6482,2,0,0,0,2,phi3_4b_hf_4bit
q01,0.5403,0.8485,348,14,24.86,298,0.5403,2,0,0,1,3,phi3_4b_hf_8bit
q02,0.7273,0.9062,34,3,11.33,33,0.7273,0,0,0,0,0,phi3_4b_hf_8bit
q03,0.5943,0.8833,349,9,38.78,318,0.5943,1,0,0,0,1,phi3_4b_hf_8bit
q04,0.5741,0.8354,345,12,28.75,317,0.5741,1,0,0,0,1,phi3_4b_hf_8bit
q05,0.6455,0.9269,250,8,31.25,220,0.6455,0,0,0,0,0,phi3_4b_hf_8bit
q01,0.3743,0.7525,817,21,38.9,700,0.3743,7,0,0,3,10,qwen25_3b_hf_4bit
q02,0.304,0.6559,850,39,21.79,806,0.304,14,0,0,5,19,qwen25_3b_hf_4bit
q03,0.4283,0.8344,769,37,20.78,635,0.4283,5,2,0,3,10,qwen25_3b_hf_4bit
q04,0.2321,0.358,884,28,31.57,853,0.2321,4,0,0,6,10,qwen25_3b_hf_4bit
q05,0.4888,0.8405,588,20,29.4,534,0.4888,2,0,0,3,5,qwen25_3b_hf_4bit
q01,0.3659,0.7328,749,22,34.05,697,0.3659,5,0,0,3,8,qwen25_3b_hf_8bit
q02,0.3992,0.7894,870,20,43.5,794,0.3992,8,0,0,3,11,qwen25_3b_hf_8bit
q03,0.2812,0.4891,765,25,30.6,690,0.2812,2,0,0,5,7,qwen25_3b_hf_8bit
q04,0.4159,0.6877,860,16,53.75,731,0.4159,1,1,0,2,4,qwen25_3b_hf_8bit
q05,0.4936,0.8535,596,16,37.25,547,0.4936,1,3,0,1,5,qwen25_3b_hf_8bit
q01,0.3118,0.5191,891,21,42.43,760,0.3118,7,2,0,3,12,qwen25_7b_hf_4bit
q02,0.3631,0.6848,865,57,15.18,829,0.3631,13,0,0,9,22,qwen25_7b_hf_4bit
q03,0.3664,0.7192,794,26,30.54,756,0.3664,7,0,0,4,11,qwen25_7b_hf_4bit
q04,0.4524,0.6347,912,4,228.0,168,0.4524,0,0,0,0,0,qwen25_7b_hf_4bit
q05,0.4882,0.8714,624,23,27.13,592,0.4882,0,2,0,3,5,qwen25_7b_hf_4bit
q01,0.2034,0.3401,774,27,28.67,595,0.2034,9,0,0,6,15,qwen25_7b_hf_8bit
q02,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,qwen25_7b_hf_8bit
q03,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,qwen25_7b_hf_8bit
q04,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,qwen25_7b_hf_8bit
q05,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,qwen25_7b_hf_8bit
q01,0.468,0.8828,716,11,65.09,547,0.468,4,1,0,0,5,qwen_4b_ol_q4km
