model,question_id,reference_answer,extraction_confidence,has_answer,exact_match,numerical_match,has_reasoning,step_count,has_calculation,text_length,extracted_answer
deepseek_8b_ol_q4km,q01,90,0.4,1.0,0.0,0.0,1.0,28,1.0,1358,30
deepseek_8b_ol_q4km,q02,60,0.4,1.0,1.0,1.0,1.0,23,1.0,1156,60.
deepseek_8b_ol_q4km,q03,5,0.8,1.0,0.0,0.0,1.0,1,0.0,68,300
deepseek_8b_ol_q4km,q04,21,0.4,1.0,1.0,1.0,1.0,27,1.0,1973,21.
deepseek_8b_ol_q4km,q05,66,0.7,1.0,0.0,0.0,1.0,21,1.0,871,30
gemma_2b_hf_4bit,q01,90,0.1,1.0,1.0,1.0,1.0,11,0.0,459,90
gemma_2b_hf_4bit,q02,60,0.2,1.0,1.0,1.0,1.0,3,1.0,161,60
gemma_2b_hf_4bit,q04,21,0.1,1.0,0.0,0.0,1.0,4,0.0,223,43
gemma_2b_hf_4bit,q05,66,0.4,1.0,0.0,0.0,1.0,5,1.0,283,256
gemma_2b_hf_8bit,q01,90,0.1,1.0,0.0,0.0,1.0,11,0.0,480,205
gemma_2b_hf_8bit,q02,60,0.1,1.0,1.0,1.0,1.0,3,1.0,166,60
gemma_2b_hf_8bit,q04,21,0.2,1.0,0.0,0.0,1.0,3,0.0,130,84.
gemma_2b_hf_8bit,q05,66,0.4,1.0,1.0,1.0,1.0,4,1.0,198,66
gemma_4b_ol_q4km,q01,90,0.7,1.0,0.0,0.0,1.0,16,1.0,1101,300
gemma_4b_ol_q4km,q02,60,0.4,1.0,0.0,0.0,1.0,13,1.0,762,1.2
gemma_4b_ol_q4km,q03,5,0.7,1.0,1.0,1.0,1.0,12,0.0,594,5
gemma_4b_ol_q4km,q04,21,0.4,1.0,0.0,0.0,1.0,23,1.0,932,15
gemma_4b_ol_q4km,q05,66,0.7,1.0,0.0,0.0,1.0,14,1.0,681,48
phi3_4b_hf_4bit,q01,90,0.4,1.0,1.0,1.0,1.0,9,0.0,590,90.
phi3_4b_hf_4bit,q02,60,0.1,1.0,1.0,1.0,1.0,7,1.0,423,60
phi3_4b_hf_4bit,q03,5,0.4,1.0,1.0,1.0,1.0,11,1.0,524,5
phi3_4b_hf_4bit,q04,21,0.1,1.0,1.0,1.0,1.0,4,0.0,391,21.
phi3_4b_hf_4bit,q05,66,0.7,1.0,0.0,0.0,0.0,1,0.0,48,68
phi3_4b_hf_8bit,q01,90,0.4,1.0,1.0,1.0,1.0,8,0.0,493,90.
phi3_4b_hf_8bit,q02,60,0.1,1.0,1.0,1.0,1.0,7,1.0,423,60
phi3_4b_hf_8bit,q03,5,0.4,1.0,1.0,1.0,0.0,12,1.0,586,5
phi3_4b_hf_8bit,q04,21,0.1,1.0,1.0,1.0,1.0,3,0.0,148,21
phi3_4b_hf_8bit,q05,66,0.4,1.0,1.0,1.0,0.0,2,1.0,122,66.
qwen25_3b_hf_4bit,q01,90,0.7,1.0,1.0,1.0,1.0,24,1.0,1285,90
qwen25_3b_hf_4bit,q02,60,0.4,1.0,1.0,1.0,1.0,18,1.0,1127,60
qwen25_3b_hf_4bit,q03,5,0.4,1.0,1.0,1.0,1.0,13,1.0,1113,5
qwen25_3b_hf_4bit,q04,21,0.7,1.0,0.0,0.0,1.0,28,1.0,1898,3.
qwen25_3b_hf_4bit,q05,66,0.7,1.0,1.0,1.0,1.0,15,1.0,1034,66
qwen25_3b_hf_8bit,q01,90,0.4,1.0,1.0,1.0,1.0,19,1.0,1256,90
qwen25_3b_hf_8bit,q02,60,0.4,1.0,1.0,1.0,1.0,13,1.0,1181,60
qwen25_3b_hf_8bit,q03,5,0.4,1.0,1.0,1.0,1.0,17,1.0,1155,5
qwen25_3b_hf_8bit,q04,21,0.1,1.0,0.0,0.0,1.0,26,1.0,1992,1.
qwen25_3b_hf_8bit,q05,66,0.7,1.0,1.0,1.0,1.0,15,1.0,1012,66
qwen25_7b_hf_4bit,q01,90,0.4,1.0,0.0,0.0,1.0,24,0.0,1352,300
qwen25_7b_hf_4bit,q02,60,0.1,1.0,1.0,1.0,1.0,19,1.0,1618,60
qwen25_7b_hf_4bit,q03,5,0.4,1.0,1.0,1.0,1.0,18,1.0,1226,5
qwen25_7b_hf_4bit,q04,21,0.1,1.0,1.0,1.0,1.0,33,0.0,2771,21
qwen25_7b_hf_4bit,q05,66,0.7,1.0,1.0,1.0,1.0,18,0.0,1145,66
qwen_4b_ol_q4km,q01,90,0.1,1.0,0.0,0.0,1.0,28,0.0,1441,10
qwen_4b_ol_q4km,q02,60,0.1,1.0,1.0,1.0,1.0,29,1.0,1206,60.
qwen_4b_ol_q4km,q03,5,0.2,0.0,0.0,0.0,0.0,1,0.0,11,
qwen_4b_ol_q4km,q04,21,0.5,1.0,1.0,1.0,1.0,3,0.0,136,21
qwen_4b_ol_q4km,q05,66,0.7,1.0,1.0,1.0,1.0,24,1.0,910,66.
qwen_8b_ol_q4km,q01,90,0.1,1.0,0.0,0.0,1.0,31,0.0,1449,10
qwen_8b_ol_q4km,q02,60,0.4,1.0,1.0,1.0,1.0,27,1.0,1497,60
qwen_8b_ol_q4km,q03,5,0.7,1.0,0.0,0.0,1.0,22,1.0,990,20.
qwen_8b_ol_q4km,q04,21,0.7,1.0,0.0,0.0,1.0,43,1.0,1869,63.
qwen_8b_ol_q4km,q05,66,0.7,1.0,0.0,0.0,1.0,18,0.0,1327,3
