experiment_id,model,task_type,prompt,compilation_rate,code_length,cyclomatic_complexity,has_code,test_pass_rate,tests_passed,tests_total
exp_20260303_203028_2759390320288,deepseek_8b_ol_q4km,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",1.0,2,1,1.0,1.0,4.0,4.0
exp_20260303_203049_2759390320288,deepseek_8b_ol_q4km,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",0.0,4,4,1.0,,,
exp_20260303_203106_2759390320288,deepseek_8b_ol_q4km,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",0.0,1,1,1.0,,,
exp_20260303_203123_2759390320288,deepseek_8b_ol_q4km,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",1.0,7,4,1.0,1.0,2.0,2.0
exp_20260303_203144_2759390320288,deepseek_8b_ol_q4km,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",1.0,3,1,1.0,0.0,0.0,3.0
exp_20260303_190201_2518223083168,gemma_2b_hf_4bit,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",1.0,1,1,1.0,0.0,0.0,4.0
exp_20260303_190224_2518223083168,gemma_2b_hf_4bit,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",1.0,5,1,1.0,0.0,0.0,5.0
exp_20260303_190246_2518223083168,gemma_2b_hf_4bit,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",1.0,1,1,1.0,0.0,0.0,1.0
exp_20260303_190315_2518223083168,gemma_2b_hf_4bit,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",0.0,5,7,1.0,,,
exp_20260303_190324_2518223083168,gemma_2b_hf_4bit,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",1.0,1,3,1.0,0.0,0.0,3.0
exp_20260303_191242_2570525529760,gemma_2b_hf_8bit,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",0.0,11,3,1.0,,,
exp_20260303_191317_2570525529760,gemma_2b_hf_8bit,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",1.0,1,1,1.0,0.0,0.0,5.0
exp_20260303_191349_2570525529760,gemma_2b_hf_8bit,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",1.0,1,1,1.0,0.0,0.0,1.0
exp_20260303_191422_2570525529760,gemma_2b_hf_8bit,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",0.0,5,7,1.0,,,
exp_20260303_191454_2570525529760,gemma_2b_hf_8bit,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",1.0,1,4,1.0,0.0,0.0,3.0
exp_20260303_171044_2801312650912,gemma_4b_ol_q4km,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",1.0,11,2,1.0,1.0,4.0,4.0
exp_20260303_171105_2801312650912,gemma_4b_ol_q4km,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",1.0,25,8,1.0,1.0,5.0,5.0
exp_20260303_171113_2801312650912,gemma_4b_ol_q4km,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",1.0,21,7,1.0,0.0,0.0,1.0
exp_20260303_171120_2801312650912,gemma_4b_ol_q4km,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",1.0,17,5,1.0,1.0,2.0,2.0
exp_20260303_171127_2801312650912,gemma_4b_ol_q4km,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",1.0,26,7,1.0,1.0,3.0,3.0
exp_20260303_203916_2801285387936,phi3_4b_hf_4bit,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",1.0,1,1,1.0,0.0,0.0,4.0
exp_20260303_203929_2801285387936,phi3_4b_hf_4bit,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",0.0,13,7,1.0,,,
exp_20260303_203941_2801285387936,phi3_4b_hf_4bit,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",0.0,4,3,1.0,,,
exp_20260303_203951_2801285387936,phi3_4b_hf_4bit,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",0.0,5,1,1.0,,,
exp_20260303_204033_2801285387936,phi3_4b_hf_4bit,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",0.0,6,4,1.0,,,
exp_20260303_205305_2199671396000,phi3_4b_hf_8bit,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",1.0,5,1,1.0,0.0,0.0,4.0
exp_20260303_205325_2199671396000,phi3_4b_hf_8bit,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",0.0,2,2,1.0,,,
exp_20260303_205338_2199671396000,phi3_4b_hf_8bit,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",0.0,9,4,1.0,,,
exp_20260303_205351_2199671396000,phi3_4b_hf_8bit,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",0.0,4,1,1.0,,,
exp_20260303_205454_2199671396000,phi3_4b_hf_8bit,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",0.0,5,4,1.0,,,
exp_20260303_194909_2034608821920,qwen_4b_ol_q4km,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",0.0,3,3,1.0,,,
exp_20260303_194938_2034608821920,qwen_4b_ol_q4km,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",0.0,1,1,1.0,,,
exp_20260303_194949_2034608821920,qwen_4b_ol_q4km,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",0.0,3,1,1.0,,,
exp_20260303_195001_2034608821920,qwen_4b_ol_q4km,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",0.0,2,1,1.0,,,
exp_20260303_195015_2034608821920,qwen_4b_ol_q4km,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",0.0,2,2,1.0,,,
exp_20260303_195843_3063473428128,qwen_8b_ol_q4km,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",1.0,1,1,1.0,0.0,0.0,4.0
exp_20260303_195917_3063473428128,qwen_8b_ol_q4km,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",0.0,6,9,1.0,,,
exp_20260303_195934_3063473428128,qwen_8b_ol_q4km,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",0.0,18,13,1.0,,,
exp_20260303_195952_3063473428128,qwen_8b_ol_q4km,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",0.0,10,27,1.0,,,
exp_20260303_200013_3063473428128,qwen_8b_ol_q4km,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",0.0,19,35,1.0,,,
exp_20260303_211315_2358431307424,qwen25_3b_hf_4bit,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",1.0,36,10,1.0,0.0,0.0,4.0
exp_20260303_211438_2358431307424,qwen25_3b_hf_4bit,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",1.0,1,3,1.0,0.0,0.0,5.0
exp_20260303_211515_2358431307424,qwen25_3b_hf_4bit,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",0.0,10,4,1.0,,,
exp_20260303_211551_2358431307424,qwen25_3b_hf_4bit,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",1.0,1,1,1.0,0.0,0.0,2.0
exp_20260303_211636_2358431307424,qwen25_3b_hf_4bit,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",1.0,1,1,1.0,0.0,0.0,3.0
exp_20260303_213318_2451737990816,qwen25_3b_hf_8bit,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",1.0,1,1,1.0,0.0,0.0,4.0
exp_20260303_213603_2451737990816,qwen25_3b_hf_8bit,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",0.0,14,8,1.0,,,
exp_20260303_213730_2451737990816,qwen25_3b_hf_8bit,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",0.0,9,5,1.0,,,
