model,question_id,reasoning_type,conclusion_correct,conclusion_f1,has_premise,has_reasoning_steps,reasoning_keyword_count,has_conclusion,step_count,completeness_score,has_logical_connectors,connector_density,coherence_score,sentence_count,avg_sentence_length,depth_score,keyword_coverage,extraction_confidence
deepseek_8b_ol_q4km,q01,logic_puzzle,0.0,0.0,1.0,1.0,5,1.0,27,1.0,1.0,0.16129032258064516,1.5514645793419834e-199,27,1.4444444444444444,0.5481481481481482,0.0,1.0
deepseek_8b_ol_q4km,q02,deductive,0.0,0.0,1.0,1.0,4,1.0,20,1.0,1.0,0.05128205128205128,1.5755764949299607e-15,20,1.4,0.5466666666666666,0.0,1.0
deepseek_8b_ol_q4km,q03,logic_puzzle,1.0,0.0,1.0,1.0,4,1.0,18,1.0,1.0,0.1388888888888889,5.0932946690675784e-145,18,1.5,0.55,0.0,1.0
deepseek_8b_ol_q4km,q04,deductive,0.0,0.0,1.0,1.0,5,1.0,15,1.0,1.0,0.13636363636363635,2.021734942774131e-139,15,2.7333333333333334,0.5911111111111111,0.0,1.0
deepseek_8b_ol_q4km,q05,game_theory,0.0,0.0,1.0,1.0,5,1.0,12,1.0,1.0,0.2857142857142857,0.0,12,1.1666666666666667,0.5388888888888889,0.0,1.0
gemma_2b_hf_4bit,q01,logic_puzzle,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.1353352832366127,1,1.0,0.10476190476190475,0.0,0.7
gemma_2b_hf_4bit,q02,deductive,0.0,0.0,1.0,1.0,1,1.0,1,1.0,1.0,0.125,1.3461998461573202e-115,1,2.0,0.1380952380952381,0.0,1.0
gemma_2b_hf_4bit,q03,logic_puzzle,0.0,0.0,0.0,0.0,0,1.0,1,0.3,0.0,0.0,0.1353352832366127,1,1.0,0.10476190476190475,0.0,0.7
gemma_2b_hf_4bit,q04,deductive,1.0,0.0,0.0,1.0,1,1.0,2,0.7,1.0,0.1111111111111111,1.585559709476183e-89,2,2.0,0.2095238095238095,0.0,1.0
gemma_2b_hf_4bit,q05,game_theory,0.0,0.0,1.0,0.0,0,0.0,6,0.3,0.0,0.0,0.1353352832366127,6,1.0,0.4619047619047619,0.0,0.7
gemma_2b_hf_8bit,q01,logic_puzzle,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.1353352832366127,1,1.0,0.10476190476190475,0.0,0.7
gemma_2b_hf_8bit,q02,deductive,0.0,0.0,0.0,1.0,1,1.0,1,0.7,1.0,1.0,0.0,1,1.0,0.10476190476190475,0.0,1.0
gemma_2b_hf_8bit,q03,logic_puzzle,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,0.1353352832366127,1,1.0,0.10476190476190475,0.0,0.7
gemma_2b_hf_8bit,q04,deductive,1.0,0.0,0.0,1.0,1,1.0,2,0.7,1.0,0.1111111111111111,1.585559709476183e-89,2,1.5,0.19285714285714284,0.0,1.0
gemma_2b_hf_8bit,q05,game_theory,0.0,0.0,1.0,1.0,1,0.0,6,0.7,1.0,0.18181818181818182,3.798540193633925e-257,6,1.0,0.4619047619047619,0.0,0.7
gemma_4b_ol_q4km,q01,logic_puzzle,0.0,0.0,1.0,1.0,3,1.0,19,1.0,1.0,0.06666666666666667,1.2842313672676196e-28,19,2.3684210526315788,0.5789473684210527,0.0,1.0
gemma_4b_ol_q4km,q02,deductive,0.0,0.0,1.0,1.0,2,1.0,6,1.0,1.0,0.05,1.2664165549094176e-14,6,5.833333333333333,0.623015873015873,0.0,1.0
gemma_4b_ol_q4km,q03,logic_puzzle,0.0,0.0,0.0,1.0,1,1.0,11,0.7,1.0,0.041666666666666664,1.9497677860172447e-09,11,2.1818181818181817,0.5727272727272728,0.0,1.0
gemma_4b_ol_q4km,q04,deductive,0.0,0.0,0.0,1.0,2,1.0,1,0.7,1.0,0.18181818181818182,3.798540193633925e-257,1,10.0,0.40476190476190477,0.0,1.0
gemma_4b_ol_q4km,q05,game_theory,0.0,0.0,1.0,1.0,3,1.0,12,1.0,1.0,0.09803921568627451,4.747966164734967e-68,12,4.416666666666667,0.6472222222222223,0.0,1.0
phi3_4b_hf_4bit,q01,logic_puzzle,0.0,0.0,1.0,1.0,4,1.0,11,1.0,1.0,0.2631578947368421,0.0,11,1.8181818181818181,0.5606060606060606,0.0,1.0
phi3_4b_hf_4bit,q02,deductive,0.0,0.0,1.0,1.0,4,1.0,8,1.0,1.0,0.25,0.0,8,1.875,0.5625,0.0,1.0
phi3_4b_hf_4bit,q03,logic_puzzle,0.0,0.0,1.0,1.0,1,0.0,8,0.7,1.0,0.13333333333333333,7.550359258120274e-133,8,1.375,0.5458333333333333,0.0,0.7
phi3_4b_hf_4bit,q04,deductive,0.0,0.0,1.0,1.0,2,1.0,7,1.0,1.0,0.3333333333333333,0.0,7,1.5714285714285714,0.5523809523809524,0.0,1.0
phi3_4b_hf_4bit,q05,game_theory,0.0,0.0,1.0,0.0,0,1.0,7,0.6,1.0,0.2777777777777778,0.0,7,2.857142857142857,0.5952380952380952,0.0,0.7
phi3_4b_hf_8bit,q01,logic_puzzle,0.0,0.0,1.0,1.0,5,1.0,10,1.0,1.0,0.8333333333333334,0.0,10,1.4,0.5466666666666666,0.0,1.0
phi3_4b_hf_8bit,q02,deductive,0.0,0.0,1.0,1.0,1,1.0,5,1.0,1.0,0.25,0.0,5,1.8,0.41714285714285715,0.0,1.0
phi3_4b_hf_8bit,q03,logic_puzzle,0.0,0.0,1.0,1.0,1,0.0,10,0.7,1.0,0.15384615384615385,1.8794838895192693e-180,10,1.3,0.5433333333333333,0.0,0.7
phi3_4b_hf_8bit,q04,deductive,0.0,0.0,0.0,1.0,2,1.0,8,0.7,1.0,0.07142857142857142,1.6751794832264688e-33,8,2.375,0.5791666666666666,0.0,1.0
phi3_4b_hf_8bit,q05,game_theory,0.0,0.0,1.0,1.0,1,0.0,6,0.7,1.0,0.5,0.0,6,1.3333333333333333,0.473015873015873,0.0,0.7
qwen25_3b_hf_4bit,q01,logic_puzzle,0.0,0.0,1.0,1.0,2,1.0,20,1.0,1.0,0.1111111111111111,1.585559709476183e-89,20,2.25,0.575,0.0,1.0
qwen25_3b_hf_4bit,q02,deductive,1.0,0.0,1.0,1.0,1,1.0,17,1.0,1.0,0.07407407407407407,2.1887354977606364e-36,17,3.235294117647059,0.607843137254902,0.0,1.0
qwen25_3b_hf_4bit,q03,logic_puzzle,0.0,0.0,1.0,1.0,3,1.0,17,1.0,1.0,0.21052631578947367,0.0,17,1.3529411764705883,0.5450980392156862,0.0,1.0
qwen25_3b_hf_4bit,q04,deductive,1.0,1.0,1.0,1.0,2,1.0,13,1.0,1.0,0.125,1.3461998461573202e-115,13,1.1538461538461537,0.5384615384615384,0.0,1.0
qwen25_3b_hf_4bit,q05,game_theory,0.0,0.0,1.0,1.0,1,1.0,20,1.0,1.0,0.125,1.3461998461573202e-115,20,1.5,0.55,0.0,1.0
qwen25_3b_hf_8bit,q01,logic_puzzle,0.0,0.0,1.0,1.0,2,1.0,24,1.0,1.0,0.10810810810810811,2.4921113438761884e-84,24,1.7083333333333333,0.5569444444444445,0.0,1.0
qwen25_3b_hf_8bit,q02,deductive,0.0,0.0,1.0,1.0,2,1.0,14,1.0,1.0,0.25,0.0,14,1.2857142857142858,0.5428571428571428,0.0,1.0
qwen25_3b_hf_8bit,q03,logic_puzzle,0.0,0.0,1.0,1.0,3,0.0,19,0.7,1.0,0.16129032258064516,1.5514645793419834e-199,19,1.631578947368421,0.5543859649122806,0.0,0.7
qwen25_3b_hf_8bit,q04,deductive,0.0,0.0,1.0,1.0,1,1.0,17,1.0,1.0,0.022727272727272728,0.03917684398136177,17,2.235294117647059,0.5745098039215686,0.0,1.0
qwen25_3b_hf_8bit,q05,game_theory,0.0,0.0,1.0,0.0,0,0.0,14,0.3,0.0,0.0,0.1353352832366127,14,2.4285714285714284,0.5809523809523809,0.0,0.7
qwen25_7b_hf_4bit,q01,logic_puzzle,0.0,0.0,1.0,1.0,6,1.0,23,1.0,1.0,0.20833333333333334,0.0,23,1.2173913043478262,0.5405797101449276,0.0,1.0
qwen25_7b_hf_4bit,q02,deductive,0.0,0.0,1.0,1.0,3,1.0,8,1.0,1.0,0.06382978723404255,6.782139038501493e-26,8,5.75,0.6916666666666667,0.0,1.0
qwen25_7b_hf_4bit,q03,logic_puzzle,0.0,0.0,1.0,1.0,3,1.0,21,1.0,1.0,0.3333333333333333,0.0,21,1.0,0.5333333333333333,0.0,1.0
qwen25_7b_hf_4bit,q04,deductive,0.0,0.0,1.0,1.0,2,1.0,7,1.0,1.0,0.09090909090909091,1.379512900143704e-57,7,7.857142857142857,0.7619047619047619,0.0,1.0
qwen25_7b_hf_4bit,q05,game_theory,0.0,0.0,1.0,1.0,4,1.0,16,1.0,1.0,0.11764705882352941,2.232917274269656e-101,16,1.5,0.55,0.0,1.0
qwen_4b_ol_q4km,q01,logic_puzzle,0.0,0.0,1.0,1.0,4,1.0,25,1.0,1.0,0.2222222222222222,0.0,25,1.36,0.5453333333333333,0.0,1.0
qwen_4b_ol_q4km,q02,deductive,0.0,0.0,1.0,1.0,5,1.0,21,1.0,1.0,0.09090909090909091,1.379512900143704e-57,21,2.857142857142857,0.5952380952380952,0.0,1.0
qwen_4b_ol_q4km,q03,logic_puzzle,0.0,0.0,1.0,1.0,4,1.0,20,1.0,1.0,0.2857142857142857,0.0,20,1.2,0.54,0.0,1.0
qwen_4b_ol_q4km,q04,deductive,1.0,0.0,1.0,1.0,4,1.0,14,1.0,1.0,0.16666666666666666,6.451553869780681e-214,14,2.4285714285714284,0.5809523809523809,0.0,1.0
qwen_4b_ol_q4km,q05,game_theory,0.0,0.0,1.0,1.0,4,1.0,14,1.0,1.0,0.5714285714285714,0.0,14,1.1428571428571428,0.5380952380952381,0.0,1.0
qwen_8b_ol_q4km,q01,logic_puzzle,0.0,0.0,1.0,1.0,5,1.0,27,1.0,1.0,0.3125,0.0,27,1.2962962962962963,0.5432098765432098,0.0,1.0
qwen_8b_ol_q4km,q02,deductive,0.0,0.0,1.0,0.0,0,0.0,2,0.3,0.0,0.0,0.1353352832366127,2,1.5,0.19285714285714284,0.0,0.7
qwen_8b_ol_q4km,q03,logic_puzzle,0.0,0.0,1.0,1.0,4,1.0,16,1.0,1.0,0.29411764705882354,0.0,16,1.375,0.5458333333333333,0.0,1.0
