model,question_id,source_lang,target_lang,domain,bleu_1,bleu_2,bleu_4,chrf,bertscore_precision,bertscore_recall,bertscore_f1,length_ratio,edit_distance,normalized_edit_distance,edit_similarity
deepseek_8b_ol_q4km,q01,eng,zho_Hans,technology,0.8095238095238095,0.725389878748302,0.49807439618910765,0.43528470031615085,0.9617840647697449,0.9681257605552673,0.9649444818496704,0.3230769230769231,,,
deepseek_8b_ol_q4km,q02,eng,zho_Hans,history,0.8181818181818182,0.7385489458759964,0.5961621647299126,0.5478654243147415,0.9190499186515808,0.9355900287628174,0.9272461533546448,0.2682926829268293,,,
deepseek_8b_ol_q4km,q03,zho_Hans,eng,technology,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6666666666666665,,,
deepseek_8b_ol_q4km,q04,eng,zho_Hans,general,0.031553398058252434,0.024782616173322145,0.016451453833777798,0.06713777020272728,0.5118255019187927,0.6784698963165283,0.5834823250770569,9.363636363636363,,,
deepseek_8b_ol_q4km,q05,eng,zho_Hans,environment,0.7882995574223045,0.7255177935201419,0.5929835221973796,0.536417691696544,0.9516521692276001,0.9419260621070862,0.9467641115188599,0.2608695652173913,,,
gemma_2b_hf_4bit,q01,eng,zho_Hans,technology,0.0,0.0,0.0,1.0000000000000001e-16,0.5477882623672485,0.6770148277282715,0.6055843234062195,19.184615384615384,,,
gemma_2b_hf_4bit,q02,eng,zho_Hans,history,0.0,0.0,0.0,1.0000000000000001e-16,0.5119839310646057,0.6214797496795654,0.5614430904388428,15.573170731707316,,,
gemma_2b_hf_4bit,q03,zho_Hans,eng,technology,0.0,0.0,0.0,1.0000000000000001e-16,0.5476326942443848,0.6537996530532837,0.5960253477096558,11.523809523809524,,,
gemma_2b_hf_4bit,q04,eng,zho_Hans,general,0.0,0.0,0.0,1.0000000000000001e-16,0.6452624797821045,0.6922372579574585,0.6679249405860901,3.159090909090909,,,
gemma_2b_hf_4bit,q05,eng,zho_Hans,environment,0.0,0.0,0.0,1.0000000000000001e-16,0.5943352580070496,0.6248176097869873,0.6091952919960022,4.550724637681159,,,
gemma_2b_hf_8bit,q01,eng,zho_Hans,technology,0.0,0.0,0.0,1.0000000000000001e-16,0.5558505058288574,0.6467783451080322,0.5978769659996033,13.276923076923078,,,
gemma_2b_hf_8bit,q02,eng,zho_Hans,history,0.0,0.0,0.0,1.0000000000000001e-16,0.6021495461463928,0.6859102845191956,0.6413065195083618,7.365853658536586,,,
gemma_2b_hf_8bit,q03,zho_Hans,eng,technology,0.0,0.0,0.0,1.0000000000000001e-16,0.5300633907318115,0.6655247211456299,0.5901201367378235,12.095238095238095,,,
gemma_2b_hf_8bit,q04,eng,zho_Hans,general,0.0,0.0,0.0,1.0000000000000001e-16,0.5408293604850769,0.6572470664978027,0.5933820009231567,6.863636363636363,,,
gemma_2b_hf_8bit,q05,eng,zho_Hans,environment,0.0,0.0,0.0,1.0000000000000001e-16,0.5531021356582642,0.6457388401031494,0.5958413481712341,19.217391304347824,,,
gemma_4b_ol_q4km,q01,eng,zho_Hans,technology,0.02196531791907514,0.021391839331407012,0.02022491824073357,0.1093746589659722,0.4082178473472595,0.6301097273826599,0.49545449018478394,13.307692307692308,,,
gemma_4b_ol_q4km,q02,eng,zho_Hans,history,0.02258469259723965,0.02062985557154381,0.01607348260781971,0.07630082623222176,0.41535791754722595,0.6402428150177002,0.5038456320762634,9.71951219512195,,,
gemma_4b_ol_q4km,q03,zho_Hans,eng,technology,0.08791208791208792,0.06988565578146122,0.04398085473438988,0.32459230667079103,0.5842262506484985,0.7641667127609253,0.6621900796890259,29.952380952380953,,,
gemma_4b_ol_q4km,q04,eng,zho_Hans,general,0.02218430034129693,0.02133219564656969,0.01808297680971116,0.09549536009017441,0.4270436465740204,0.6181396842002869,0.5051221251487732,13.318181818181818,,,
gemma_4b_ol_q4km,q05,eng,zho_Hans,environment,0.020706455542021926,0.019462184506593642,0.016862443236893954,0.0823227927469361,0.4012623727321625,0.6104376316070557,0.4842258393764496,11.898550724637682,,,
phi3_4b_hf_4bit,q01,eng,zho_Hans,technology,0.016281062553556123,0.015853616551865814,0.01498430741951195,0.08046320209481321,0.500755786895752,0.8205933570861816,0.6219655871391296,17.953846153846154,,,
phi3_4b_hf_4bit,q02,eng,zho_Hans,history,0.009945750452079564,0.007348746481742356,0.003396258980940517,0.017777167598686392,0.5114684700965881,0.7201597094535828,0.598133385181427,13.487804878048781,,,
phi3_4b_hf_4bit,q03,zho_Hans,eng,technology,0.6111111111111112,0.568796458994521,0.46606087123583245,0.4096952550394173,0.7198140025138855,0.8907973170280457,0.7962298393249512,18.80952380952381,,,
phi3_4b_hf_4bit,q04,eng,zho_Hans,general,0.01228501228501228,0.010994804670471328,0.008147086900049762,0.04010314466943294,0.5039782524108887,0.7273192405700684,0.595393180847168,18.5,,,
phi3_4b_hf_4bit,q05,eng,zho_Hans,environment,0.015697137580794093,0.014251501400657281,0.011455834905040572,0.0551629556980526,0.5046343803405762,0.784508466720581,0.614190936088562,15.695652173913043,,,
phi3_4b_hf_8bit,q01,eng,zho_Hans,technology,0.021087680355160933,0.019958027236003057,0.017611990852481278,0.08711910258649257,0.5250800848007202,0.8201286196708679,0.6402474641799927,13.861538461538462,,,
phi3_4b_hf_8bit,q02,eng,zho_Hans,history,0.019975031210986264,0.01657276920587086,0.011991414986711661,0.05398100296178465,0.5535693168640137,0.751073956489563,0.6373718976974487,9.768292682926829,,,
phi3_4b_hf_8bit,q03,zho_Hans,eng,technology,0.06321839080459771,0.05734821722369663,0.04206475166158008,0.2302803540651086,0.5497611165046692,0.8514854907989502,0.6681388020515442,58.476190476190474,,,
phi3_4b_hf_8bit,q04,eng,zho_Hans,general,0.016417910447761197,0.015665558486278534,0.014111737560566481,0.07561056867545005,0.5205447673797607,0.6890111565589905,0.5930460095405579,15.227272727272727,,,
phi3_4b_hf_8bit,q05,eng,zho_Hans,environment,0.019,0.016317667304681344,0.012757965131354925,0.060386195942872145,0.5060031414031982,0.8020758032798767,0.6205326914787292,14.492753623188406,,,
qwen25_3b_hf_4bit,q01,eng,zho_Hans,technology,0.027142857142857146,0.024134306403020455,0.01896274913960241,0.08497934261202444,0.5321565866470337,0.7535136938095093,0.623779296875,10.76923076923077,,,
qwen25_3b_hf_4bit,q02,eng,zho_Hans,history,0.0,0.0,0.0,1.0000000000000001e-16,0.5017944574356079,0.5919215083122253,0.5431445837020874,18.109756097560975,,,
qwen25_3b_hf_4bit,q03,zho_Hans,eng,technology,0.052132701421800945,0.04168640922483049,0.029902144608736192,0.17854094053848704,0.498496949672699,0.6939728260040283,0.5802131295204163,72.47619047619048,,,
qwen25_3b_hf_4bit,q04,eng,zho_Hans,general,0.03058823529411765,0.029422861391697246,0.027025729128328426,0.13167462187928897,0.5265676975250244,0.7278413772583008,0.6110570430755615,9.659090909090908,,,
qwen25_3b_hf_4bit,q05,eng,zho_Hans,environment,0.015843429636533086,0.013861137867446003,0.009754490035453419,0.04086518389139982,0.4827364683151245,0.6949853301048279,0.5697351694107056,15.55072463768116,,,
qwen25_3b_hf_8bit,q01,eng,zho_Hans,technology,0.02992125984251969,0.02832499028493558,0.023984224119474373,0.09648424518801292,0.5522892475128174,0.7743567824363708,0.6447370052337646,9.76923076923077,,,
qwen25_3b_hf_8bit,q02,eng,zho_Hans,history,0.019407558733401428,0.01477448562308703,0.00801194973197642,0.036854065171821375,0.5464684367179871,0.7540860176086426,0.6337054371833801,11.939024390243903,,,
qwen25_3b_hf_8bit,q03,zho_Hans,eng,technology,0.0588235294117647,0.04705091647675924,0.033771018184996254,0.17334586484213474,0.5095932483673096,0.7426105737686157,0.6044213175773621,72.52380952380952,,,
qwen25_3b_hf_8bit,q04,eng,zho_Hans,general,0.009768009768009768,0.00846451377270925,0.005992641060674135,0.028112659262894916,0.5039836764335632,0.6386227607727051,0.5633705854415894,18.613636363636363,,,
qwen25_3b_hf_8bit,q05,eng,zho_Hans,environment,0.015573770491803283,0.014297332709843397,0.011850237502462387,0.052967102572325675,0.5279196500778198,0.799548864364624,0.635943591594696,17.681159420289855,,,
qwen25_7b_hf_4bit,q01,eng,zho_Hans,technology,0.01977107180020812,0.019253768365021483,0.01820136958637651,0.09806275729186908,0.4525429904460907,0.7819136381149292,0.5732879042625427,14.784615384615385,,,
qwen25_7b_hf_4bit,q02,eng,zho_Hans,history,0.02844311377245508,0.026120750060958216,0.02166470912863036,0.10193158480260855,0.4037821292877197,0.7297943830490112,0.5199083685874939,8.146341463414634,,,
qwen25_7b_hf_4bit,q03,zho_Hans,eng,technology,0.065359477124183,0.05865127858981556,0.04369427129890777,0.22317775958754074,0.44696560502052307,0.6826122999191284,0.5402092933654785,56.38095238095238,,,
qwen25_7b_hf_4bit,q04,eng,zho_Hans,general,0.01495972382048332,0.014381114642046899,0.013193505367858077,0.06846670147480688,0.49485743045806885,0.7233986258506775,0.5876912474632263,19.75,,,
