model,question,correctness,completeness,rigor,clarity,efficiency,total,notes
deepseek_8b_ol_q4km,q01,2,5,4,3,2,16,推理过程详细但未得出明确结论，逻辑分析较完整
deepseek_8b_ol_q4km,q02,5,5,5,5,4,24,完美的三段论推理，结构清晰，逻辑严密
deepseek_8b_ol_q4km,q03,5,5,5,5,4,24,正确使用温度判断法，推理完整严谨
deepseek_8b_ol_q4km,q04,5,5,5,5,5,25,传递性推理完美，简洁明了
deepseek_8b_ol_q4km,q05,2,5,4,3,2,16,逆向推理思路正确但未完成，过程详细
gemma_2b_hf_4bit,q01,1,1,1,2,5,10,仅提出问题，无推理过程
gemma_2b_hf_4bit,q02,3,3,2,3,5,16,结论正确但推理过于简略，缺少详细步骤
gemma_2b_hf_4bit,q03,1,2,1,2,5,11,仅给出提示，无具体解决方案
gemma_2b_hf_4bit,q04,5,3,3,4,5,20,结论正确，但推理过程简略
gemma_2b_hf_4bit,q05,1,1,1,2,3,8,列出选项但无分析，完全错误
gemma_2b_hf_8bit,q01,1,1,1,2,5,10,仅提出问题，无推理过程
gemma_2b_hf_8bit,q02,3,2,2,3,5,15,结论正确但推理极简，缺少逻辑链
gemma_2b_hf_8bit,q03,2,2,2,3,5,14,提示使用不同开关，但无具体方法
gemma_2b_hf_8bit,q04,5,3,3,4,5,20,结论正确，推理简洁但基本完整
gemma_2b_hf_8bit,q05,1,2,1,2,2,8,方案错误，理解有误
gemma_4b_ol_q4km,q01,3,4,3,4,3,17,方法正确但解释有冗余和逻辑混乱
gemma_4b_ol_q4km,q02,5,5,5,5,5,25,完美的三段论推理，结构清晰
gemma_4b_ol_q4km,q03,5,5,5,5,5,25,温度判断法完美，解释清晰
gemma_4b_ol_q4km,q04,5,4,5,5,5,24,传递性推理正确，表达清晰
gemma_4b_ol_q4km,q05,2,4,2,3,2,13,理解博弈论但方案错误，分析不够深入
phi3_4b_hf_4bit,q01,2,3,2,2,3,12,方法有误，理解不完整
phi3_4b_hf_4bit,q02,4,4,4,3,4,19,推理基本正确，但表达略显混乱
phi3_4b_hf_4bit,q03,2,3,2,2,3,12,方法不完整，缺少关键步骤
phi3_4b_hf_4bit,q04,4,4,4,3,4,19,推理正确但表达不够清晰
phi3_4b_hf_4bit,q05,1,2,1,2,3,9,方案过于简单，理解不足
phi3_4b_hf_8bit,q01,2,3,2,2,3,12,方法有误，逻辑不完整
phi3_4b_hf_8bit,q02,4,4,4,3,4,19,推理基本正确，结构尚可
phi3_4b_hf_8bit,q03,2,3,2,2,3,12,方法不完整，步骤不清晰
phi3_4b_hf_8bit,q04,4,4,4,3,4,19,推理正确但表达一般
phi3_4b_hf_8bit,q05,1,3,2,2,3,11,方案简单，分析不深入
qwen25_3b_hf_4bit,q01,3,5,4,4,3,19,方法正确但解释冗长，包含LaTeX代码
qwen25_3b_hf_4bit,q02,5,5,5,5,4,24,三段论推理完美，结构清晰
qwen25_3b_hf_4bit,q03,4,5,4,4,4,21,温度判断法正确，解释详细
qwen25_3b_hf_4bit,q04,5,5,5,5,5,25,传递性推理完美，简洁明了
qwen25_3b_hf_4bit,q05,2,4,3,3,3,15,逆向推理思路对但未完成，分析不够深入
qwen25_3b_hf_8bit,q01,3,4,3,3,3,16,方法正确但解释冗长，有重复内容
qwen25_3b_hf_8bit,q02,4,4,4,4,3,19,推理正确但包含无关内容
qwen25_3b_hf_8bit,q03,4,5,4,4,4,21,温度判断法正确，解释详细
qwen25_3b_hf_8bit,q04,5,4,5,4,4,22,传递性推理正确，表达清晰
qwen25_3b_hf_8bit,q05,1,3,2,2,2,10,方案错误，理解不完整
qwen25_7b_hf_4bit,q01,3,4,4,4,3,18,逻辑推理正确但解释冗长
qwen25_7b_hf_4bit,q02,5,5,5,5,4,24,三段论推理完美，结构清晰
qwen25_7b_hf_4bit,q03,5,5,5,5,4,24,温度判断法完美，解释清晰
qwen25_7b_hf_4bit,q04,5,5,5,5,4,24,传递性推理完美，表达清晰
qwen25_7b_hf_4bit,q05,3,5,4,4,3,19,逆向推理思路正确，分析较深入但未完全正确
qwen_4b_ol_q4km,q01,2,5,4,3,1,15,推理过程极其详细但冗长，未得出明确结论
qwen_4b_ol_q4km,q02,4,5,5,4,3,21,三段论推理正确，过程详细但略显冗长
qwen_4b_ol_q4km,q03,4,5,4,3,2,18,温度判断法正确，但解释过于冗长
qwen_4b_ol_q4km,q04,5,5,5,4,3,22,传递性推理正确，过程详细
qwen_4b_ol_q4km,q05,2,5,4,3,1,15,逆向推理思路对但未完成，过程极其详细但冗长
qwen_8b_ol_q4km,q01,2,5,4,3,1,15,推理过程极其详细但冗长，未得出明确结论
qwen_8b_ol_q4km,q02,4,5,5,4,3,21,推理正确，过程详细但略显冗长
qwen_8b_ol_q4km,q03,4,5,4,3,2,18,温度判断法正确，解释详细但冗长
qwen_8b_ol_q4km,q04,5,5,5,4,3,22,传递性推理正确，过程详细
qwen_8b_ol_q4km,q05,2,5,4,3,1,15,逆向推理思路对但未完成，过程极其详细
