model,question_id,source_length,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_2_precision,rouge_2_recall,rouge_2_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1,bertscore_precision,bertscore_recall,bertscore_f1,compression_ratio,length,in_range,deviation,compliance_score,information_density,bartscore_info,bartscore_faith,bartscore_avg
deepseek_8b_ol_q4km,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6867173314094543,0.7747045159339905,0.7280622720718384,2.3169398907103824,424,0.0,5.057142857142857,0.0,0.0,-3.3106470108032227,-2.9919023513793945,-3.1512746810913086
deepseek_8b_ol_q4km,q02,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6242855787277222,0.7107555866241455,0.6647202968597412,2.0116959064327484,344,0.0,4.733333333333333,0.0,0.0,-3.857311725616455,-3.4631004333496094,-3.6602060794830322
deepseek_8b_ol_q4km,q03,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6392401456832886,0.7596302032470703,0.6942546963691711,2.5180722891566263,418,0.0,5.966666666666667,0.0,0.0,-3.791834831237793,-3.2888851165771484,-3.5403599739074707
deepseek_8b_ol_q4km,q04,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.669556200504303,0.736047625541687,0.7012292146682739,1.9531914893617024,459,0.0,4.7375,0.0,0.0,-3.707557201385498,-3.6015732288360596,-3.654565215110779
deepseek_8b_ol_q4km,q05,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.680819034576416,0.7994354367256165,0.7353747487068176,1.9378531073446328,343,0.0,4.716666666666667,0.0,0.0,-3.6426992416381836,-3.084993600845337,-3.3638464212417603
gemma_2b_hf_4bit,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6573028564453125,0.6538269519805908,0.655560314655304,0.8633879781420765,158,0.0,1.2571428571428571,0.0,0.0,-3.9980409145355225,-3.7687318325042725,-3.8833863735198975
gemma_2b_hf_8bit,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9343755841255188,0.865543007850647,0.8986430764198303,0.8142076502732241,149,0.0,1.1285714285714286,0.0,0.0,-2.3156321048736572,-2.4873366355895996,-2.4014843702316284
gemma_4b_ol_q4km,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7928170561790466,0.7181590795516968,0.7536436915397644,0.4863387978142076,89,0.0,0.2714285714285714,0.7285714285714286,0.0,-3.210210084915161,-3.336780309677124,-3.2734951972961426
gemma_4b_ol_q4km,q02,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8118473291397095,0.7484228014945984,0.7788459658622742,0.4619883040935672,79,0.0,0.3166666666666666,0.6833333333333333,0.0,-3.2942955493927,-3.306760787963867,-3.3005281686782837
gemma_4b_ol_q4km,q03,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8784494400024414,0.7675818204879761,0.8192819356918335,0.4578313253012048,76,0.0,0.2666666666666666,0.7333333333333334,0.0,-2.4284002780914307,-3.2069456577301025,-2.8176729679107666
