model,question_id,distinct_1,distinct_2,distinct_3,perplexity,semantic_diversity,text_length,word_count,sentence_count
deepseek_8b_ol_q4km,q01,0.7368421052631579,0.972972972972973,1.0,,,56,38,1
deepseek_8b_ol_q4km,q02,0.5028901734104047,0.7558139534883721,0.8362573099415205,,,238,173,7
deepseek_8b_ol_q4km,q03,0.4878048780487805,0.8778004073319755,0.9673469387755103,,,765,492,17
deepseek_8b_ol_q4km,q04,0.7142857142857143,0.967741935483871,1.0,,,99,63,3
deepseek_8b_ol_q4km,q05,0.5394736842105263,0.9313984168865436,0.9867724867724867,,,606,380,17
gemma_2b_hf_4bit,q01,0.6,0.8775510204081632,1.0,,,79,50,4
gemma_2b_hf_4bit,q02,0.26143790849673204,0.506578947368421,0.6158940397350994,,,311,153,1
gemma_2b_hf_4bit,q04,0.4084507042253521,0.6285714285714286,0.7391304347826086,,,98,71,5
gemma_2b_hf_4bit,q05,0.5585585585585585,0.8909090909090909,0.963302752293578,,,170,111,6
gemma_2b_hf_8bit,q01,0.4375,0.746031746031746,0.8548387096774194,,,101,64,4
gemma_2b_hf_8bit,q02,0.3132530120481928,0.5121951219512195,0.6419753086419753,,,103,83,1
gemma_2b_hf_8bit,q03,0.6428571428571429,0.963855421686747,1.0,,,137,84,5
gemma_2b_hf_8bit,q04,0.578125,0.8888888888888888,1.0,,,105,64,3
gemma_2b_hf_8bit,q05,0.4880382775119617,0.8990384615384616,0.9710144927536232,,,328,209,11
gemma_4b_ol_q4km,q01,0.7333333333333333,0.9322033898305084,1.0,,,84,60,3
gemma_4b_ol_q4km,q02,0.3472803347280335,0.592436974789916,0.7046413502109705,,,319,239,9
gemma_4b_ol_q4km,q03,0.6526946107784432,0.9759036144578314,1.0,,,276,167,8
gemma_4b_ol_q4km,q04,0.5826771653543307,0.9126984126984127,0.984,,,198,127,4
gemma_4b_ol_q4km,q05,0.6283185840707964,0.9553571428571429,1.0,,,178,113,5
phi3_4b_hf_4bit,q01,0.45634920634920634,0.7649402390438247,0.872,,,378,252,9
phi3_4b_hf_4bit,q02,0.4298642533936652,0.7272727272727273,0.863013698630137,,,354,221,5
phi3_4b_hf_4bit,q03,0.536697247706422,0.8525345622119815,0.9259259259259259,,,350,218,7
phi3_4b_hf_4bit,q04,0.5172413793103449,0.8484848484848485,0.9565217391304348,,,362,232,5
phi3_4b_hf_4bit,q05,0.5945945945945946,0.8979591836734694,0.9657534246575342,,,235,148,5
phi3_4b_hf_8bit,q01,0.5540540540540541,0.8235294117647058,0.9045454545454545,,,333,222,9
phi3_4b_hf_8bit,q02,0.75,1.0,1.0,,,34,24,3
phi3_4b_hf_8bit,q03,0.6027397260273972,0.926605504587156,0.9907834101382489,,,341,219,9
phi3_4b_hf_8bit,q04,0.5942028985507246,0.912621359223301,0.9804878048780488,,,345,207,8
phi3_4b_hf_8bit,q05,0.5822784810126582,0.9299363057324841,0.9935897435897436,,,240,158,8
qwen25_3b_hf_4bit,q01,0.4209486166007905,0.7960396039603961,0.9087301587301587,,,768,506,19
qwen25_3b_hf_4bit,q02,0.3559633027522936,0.7426470588235294,0.8913443830570903,,,844,545,32
qwen25_3b_hf_4bit,q03,0.4989733059548255,0.8950617283950617,0.9896907216494846,,,763,487,35
qwen25_3b_hf_4bit,q04,0.2556818181818182,0.40037950664136623,0.4524714828897338,,,872,528,17
qwen25_3b_hf_4bit,q05,0.5698924731182796,0.889487870619946,0.9432432432432433,,,584,372,18
qwen25_3b_hf_8bit,q01,0.45278969957081544,0.8279569892473119,0.9396551724137931,,,732,466,22
qwen25_3b_hf_8bit,q02,0.4856046065259117,0.8788461538461538,0.9460500963391136,,,851,521,18
qwen25_3b_hf_8bit,q03,0.30784708249496984,0.5262096774193549,0.5757575757575758,,,762,497,25
qwen25_3b_hf_8bit,q04,0.5011286681715575,0.7669683257918553,0.8367346938775511,,,850,443,12
qwen25_3b_hf_8bit,q05,0.5864022662889519,0.9318181818181818,0.9829059829059829,,,592,353,15
qwen25_7b_hf_4bit,q01,0.31238095238095237,0.5381679389312977,0.6175908221797323,,,830,525,14
qwen25_7b_hf_4bit,q02,0.4333958724202627,0.7518796992481203,0.8738229755178908,,,863,533,22
qwen25_7b_hf_4bit,q03,0.41254752851711024,0.7314285714285714,0.851145038167939,,,790,526,20
qwen25_7b_hf_4bit,q04,0.08614864864864864,0.15228426395939088,0.19152542372881357,,,912,592,2
qwen25_7b_hf_4bit,q05,0.5618556701030928,0.9328165374677002,0.9896373056994818,,,618,388,22
qwen25_7b_hf_8bit,q01,0.1706827309236948,0.29979879275653926,0.3588709677419355,,,725,498,27
qwen_4b_ol_q4km,q01,0.42857142857142855,0.7874186550976139,0.9173913043478261,,,663,462,11
qwen_4b_ol_q4km,q02,0.32142857142857145,0.7031578947368421,0.8417721518987342,,,666,476,22
qwen_4b_ol_q4km,q03,0.42437923250564336,0.7692307692307693,0.8798185941043084,,,705,443,26
qwen_4b_ol_q4km,q04,0.375,0.7434343434343434,0.8744939271255061,,,764,496,32
qwen_4b_ol_q4km,q05,0.43523316062176165,0.8025974025974026,0.90625,,,558,386,22
qwen_8b_ol_q4km,q01,0.6865671641791045,0.9696969696969697,1.0,,,101,67,1
qwen_8b_ol_q4km,q02,0.7058823529411765,0.9880952380952381,1.0,,,128,85,2
qwen_8b_ol_q4km,q03,0.6859504132231405,0.9583333333333334,0.9915966386554622,,,196,121,5
qwen_8b_ol_q4km,q04,0.7377049180327869,1.0,1.0,,,109,61,3
qwen_8b_ol_q4km,q05,0.8484848484848485,1.0,1.0,,,51,33,3
