model,代码生成,创意写作,摘要生成,数学推理,翻译,逻辑推理,问答
deepseek_8b_ol_q4km,0.6,0.8986000000000001,-3.4740504741668703,0.4,0.8844874143600464,0.2,0.3199999999999999
gemma_2b_hf_4bit,0.8,0.70274,-3.8833863735198975,0.5,0.6080345988273621,0.2,0.5599999999999999
gemma_2b_hf_8bit,0.6,0.81074,-2.4014843702316284,0.5,0.6037053942680359,0.2,0.52
gemma_4b_ol_q4km,1.0,0.91704,-3.2415937423706054,0.2,0.5301676332950592,0.0,0.5599999999999999
phi3_4b_hf_4bit,0.2,0.8322799999999999,-3.878926134109497,0.8,0.6451825857162475,0.0,0.52
phi3_4b_hf_8bit,0.2,0.88006,-3.8503443717956554,1.0,0.6318673729896546,0.0,0.54
qwen25_3b_hf_4bit,0.8,0.68826,-2.503010904788971,0.8,0.5855858445167541,0.4,0.54
qwen25_3b_hf_8bit,0.4,0.7104999999999999,-2.8909735918045043,0.8,0.6164355874061584,0.0,0.52
qwen25_7b_hf_4bit,0.6,0.68584,-3.290223169326782,0.8,0.5510371327400208,0.0,0.54
qwen_4b_ol_q4km,0.0,0.78324,-2.8504727840423585,0.6,0.5518026709556579,0.2,0.3
qwen_8b_ol_q4km,0.2,0.9605,-3.354807186126709,0.2,0.5627364039421081,0.0,0.38
