model,quality_score,task
deepseek_8b_ol_q4km,0.23543304637713405,code
gemma_2b_hf_4bit,0.4288688877899364,code
gemma_2b_hf_8bit,-0.7466891557615908,code
gemma_4b_ol_q4km,4.963448207243253,code
phi3_4b_hf_4bit,-2.1119915473937363,code
phi3_4b_hf_8bit,-2.1522214538818263,code
qwen25_3b_hf_4bit,1.1987265637316584,code
qwen25_3b_hf_8bit,0.05033299682730618,code
qwen25_7b_hf_4bit,1.8621289334348203,code
qwen_4b_ol_q4km,-3.466840913473828,code
qwen_8b_ol_q4km,-1.3845538947797793,code
deepseek_8b_ol_q4km,-0.8178969075445357,creative
gemma_2b_hf_4bit,-1.866354556837184,creative
gemma_2b_hf_8bit,-1.256616718753121,creative
gemma_4b_ol_q4km,-1.224607690340295,creative
phi3_4b_hf_4bit,-1.0285528691840176,creative
phi3_4b_hf_8bit,-1.5015896438752254,creative
qwen25_3b_hf_4bit,3.3046587240219023,creative
qwen25_3b_hf_8bit,2.676575001120456,creative
qwen25_7b_hf_4bit,3.5776602746496065,creative
qwen_4b_ol_q4km,1.7315559674479333,creative
qwen_8b_ol_q4km,-1.757783936183966,creative
deepseek_8b_ol_q4km,0.44333976752020904,math
gemma_2b_hf_4bit,-1.8205071988656183,math
gemma_2b_hf_8bit,-1.8085468947799699,math
gemma_4b_ol_q4km,0.08744871924513434,math
phi3_4b_hf_4bit,-0.41609573754845264,math
phi3_4b_hf_8bit,-0.230801199571749,math
qwen25_3b_hf_4bit,1.4266875381384827,math
qwen25_3b_hf_8bit,1.1526102709219526,math
qwen25_7b_hf_4bit,0.6222551706142706,math
qwen_4b_ol_q4km,-0.28427387070673693,math
qwen_8b_ol_q4km,0.8278834350324771,math
deepseek_8b_ol_q4km,1.5376814330971151,qa
gemma_2b_hf_4bit,-2.0733832748737187,qa
gemma_2b_hf_8bit,-2.3680959162433592,qa
gemma_4b_ol_q4km,-0.04335439447553632,qa
phi3_4b_hf_4bit,0.4229836534743062,qa
phi3_4b_hf_8bit,0.4324915488018032,qa
qwen25_3b_hf_4bit,-0.19057170567300089,qa
qwen25_3b_hf_8bit,0.29273470181541605,qa
qwen25_7b_hf_4bit,-0.0760238386093882,qa
qwen_4b_ol_q4km,1.0089181384069337,qa
qwen_8b_ol_q4km,1.0566196542794315,qa
deepseek_8b_ol_q4km,1.9931494409811907,reasoning
gemma_2b_hf_4bit,-4.042187320224616,reasoning
gemma_2b_hf_8bit,-4.017759775840344,reasoning
gemma_4b_ol_q4km,1.2217848061391783,reasoning
phi3_4b_hf_4bit,-0.16086920917414432,reasoning
phi3_4b_hf_8bit,-0.591814491194174,reasoning
qwen25_3b_hf_4bit,2.3294444428721843,reasoning
qwen25_3b_hf_8bit,-0.2571333723059813,reasoning
qwen25_7b_hf_4bit,1.8886680183610691,reasoning
qwen_4b_ol_q4km,1.9118214271704863,reasoning
qwen_8b_ol_q4km,-0.27510396678484894,reasoning
deepseek_8b_ol_q4km,-1.0726231851952643,summary
gemma_2b_hf_4bit,-2.414936750461686,summary
gemma_2b_hf_8bit,0.7228398744602895,summary
gemma_4b_ol_q4km,-1.2845444384245983,summary
phi3_4b_hf_4bit,-2.302233152391276,summary
phi3_4b_hf_8bit,-2.5515883754874995,summary
qwen25_3b_hf_4bit,5.2776036607536385,summary
qwen25_3b_hf_8bit,3.6461097388656563,summary
qwen25_7b_hf_4bit,0.42004725608606075,summary
qwen_4b_ol_q4km,0.8081991514166633,summary
qwen_8b_ol_q4km,-1.2488737796219842,summary
deepseek_8b_ol_q4km,8.104925679442703,translation
gemma_2b_hf_4bit,-0.7795020988698733,translation
gemma_2b_hf_8bit,-0.8474128716000733,translation
gemma_4b_ol_q4km,-1.1159228723414938,translation
phi3_4b_hf_4bit,0.7475320135423124,translation
phi3_4b_hf_8bit,-0.24906135971900073,translation
qwen25_3b_hf_4bit,-1.0566064885494022,translation
qwen25_3b_hf_8bit,-0.708287796623878,translation
qwen25_7b_hf_4bit,-1.1167140868985144,translation
qwen_4b_ol_q4km,-1.5883470369825368,translation
qwen_8b_ol_q4km,-1.3906030814002424,translation
