model,exp_id,total_events,missing_events,complete
deepseek-r1:8b,exp_20260303_203049_,4,1,False
deepseek-r1:8b,exp_20260303_203106_,4,1,False
deepseek-r1:8b,exp_20260303_203144_,4,1,False
deepseek-r1:8b,exp_20260303_203231_,4,1,False
deepseek-r1:8b,exp_20260303_203256_,4,1,False
deepseek-r1:8b,exp_20260303_203308_,4,1,False
deepseek-r1:8b,exp_20260303_203320_,4,1,False
deepseek-r1:8b,exp_20260303_203343_,4,1,False
deepseek-r1:8b,exp_20260303_203359_,4,1,False
deepseek-r1:8b,exp_20260303_203514_,8,1,False
deepseek-r1:8b,exp_20260303_203605_,4,1,False
deepseek-r1:8b,exp_20260303_203615_,4,1,False
deepseek-r1:8b,exp_20260303_203623_,4,1,False
deepseek-r1:8b,exp_20260303_203630_,4,1,False
deepseek-r1:8b,exp_20260303_203640_,4,1,False
deepseek-r1:8b,exp_20260303_203648_,4,1,False
deepseek-r1:8b,exp_20260303_203704_,4,1,False
deepseek-r1:8b,exp_20260303_203714_,4,1,False
deepseek-r1:8b,exp_20260303_203727_,4,1,False
deepseek-r1:8b,exp_20260303_203737_,4,1,False
deepseek-r1:8b,exp_20260303_203749_,4,1,False
deepseek-r1:8b,exp_20260303_203757_,4,1,False
deepseek-r1:8b,exp_20260303_203805_,4,1,False
deepseek-r1:8b,exp_20260303_203813_,4,1,False
deepseek-r1:8b,exp_20260303_203822_,4,1,False
deepseek-r1:8b,exp_20260303_203858_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190201_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190224_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190246_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190315_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190324_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190345_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190350_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190357_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190359_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190404_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190411_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190419_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190423_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190426_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190432_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190438_,10,1,False
google--gemma-2b-it:4bit,exp_20260303_190459_,8,1,False
google--gemma-2b-it:4bit,exp_20260303_190513_,8,1,False
google--gemma-2b-it:4bit,exp_20260303_190531_,8,1,False
google--gemma-2b-it:4bit,exp_20260303_190557_,8,1,False
google--gemma-2b-it:4bit,exp_20260303_190612_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190618_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190623_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190634_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190642_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190647_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190651_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190655_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190700_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190704_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190710_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190716_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190719_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190722_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190725_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190728_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190741_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190754_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190802_,4,1,False
google--gemma-2b-it:4bit,exp_20260303_190806_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191242_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191317_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191349_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191422_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191454_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191519_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191528_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191535_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191546_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191554_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191613_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191628_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191634_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191637_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191643_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_191651_,10,1,False
google--gemma-2b-it:8bit,exp_20260303_191731_,8,1,False
google--gemma-2b-it:8bit,exp_20260303_191816_,8,1,False
google--gemma-2b-it:8bit,exp_20260303_191902_,8,1,False
google--gemma-2b-it:8bit,exp_20260303_191949_,8,1,False
google--gemma-2b-it:8bit,exp_20260303_192017_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192027_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192037_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192056_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192103_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192113_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192117_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192121_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192125_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192132_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192148_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192200_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192203_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192206_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192209_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192212_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192227_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192242_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192259_,4,1,False
google--gemma-2b-it:8bit,exp_20260303_192306_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_203916_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_203929_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_203941_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_203951_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204033_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204045_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204114_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204141_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204210_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204237_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204301_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204314_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204323_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204334_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204343_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204347_,10,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204434_,8,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204510_,8,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204602_,8,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204639_,8,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204745_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204756_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204806_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204818_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204832_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204844_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204914_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204933_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_204958_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_205016_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_205038_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_205048_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_205102_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_205116_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_205131_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_205143_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_205201_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_205217_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_205234_,4,1,False
microsoft--phi-3-mini-4k-instruct:4bit,exp_20260303_205248_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205305_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205325_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205338_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205351_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205454_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205553_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205634_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205641_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205721_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205804_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205838_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205856_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205909_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205924_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205931_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_205938_,10,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210106_,8,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210201_,8,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210258_,8,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210353_,8,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210536_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210553_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210608_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210625_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210650_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210707_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210753_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210818_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210850_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210915_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210948_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_210959_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_211016_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_211038_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_211059_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_211117_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_211141_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_211206_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_211230_,4,1,False
microsoft--phi-3-mini-4k-instruct:8bit,exp_20260303_211250_,4,1,False
qwen3:4b,exp_20260303_194909_,4,1,False
qwen3:4b,exp_20260303_194938_,4,1,False
qwen3:4b,exp_20260303_194949_,4,1,False
qwen3:4b,exp_20260303_195001_,4,1,False
qwen3:4b,exp_20260303_195015_,4,1,False
qwen3:4b,exp_20260303_195029_,4,1,False
qwen3:4b,exp_20260303_195039_,4,1,False
qwen3:4b,exp_20260303_195048_,4,1,False
qwen3:4b,exp_20260303_195058_,4,1,False
qwen3:4b,exp_20260303_195108_,4,1,False
qwen3:4b,exp_20260303_195116_,4,1,False
qwen3:4b,exp_20260303_195125_,4,1,False
qwen3:4b,exp_20260303_195152_,4,1,False
qwen3:4b,exp_20260303_195215_,8,1,False
qwen3:4b,exp_20260303_195229_,8,1,False
qwen3:4b,exp_20260303_195244_,8,1,False
qwen3:4b,exp_20260303_195319_,4,1,False
qwen3:4b,exp_20260303_195326_,4,1,False
qwen3:4b,exp_20260303_195332_,4,1,False
qwen3:4b,exp_20260303_195338_,4,1,False
